,SubjectID,SessionID,Precision,Recall,f1-score
0,sub-010,ses-01,0.7039682539682539,0.7,0.6998147919496235
1,sub-011,ses-01,0.752895752895753,0.7094594594594594,0.7104546885318751
2,sub-012,ses-01,0.6951132512930266,0.6944444444444444,0.6945860145860147
3,sub-012,ses-02,0.7278089537348797,0.7277777777777777,0.7272287893987499
4,sub-014,ses-01,0.611008245105952,0.5706214689265536,0.5513356313217005
5,sub-014,ses-02,0.5192857142857144,0.5,0.45898824461761983
6,sub-015,ses-01,0.7476291597648,0.7401574803149606,0.7401574803149606
7,sub-015,ses-02,0.7429864253393664,0.7333333333333333,0.732277750288636
8,sub-016,ses-01,0.7435653423235038,0.7277777777777777,0.7254720265858611
9,sub-017,ses-01,0.7778883911288093,0.7777777777777778,0.7774470899470899
10,sub-018,ses-01,0.6300260812866767,0.6074766355140186,0.6047278724573942
11,sub-019,ses-01,0.7307421513124035,0.728,0.727686475409836
12,sub-03,ses-03,0.6453910389057662,0.6277777777777778,0.6218178539349611
13,sub-08,ses-03,0.5959064327485379,0.5611111111111111,0.5350583460172501
